detail_id,order_id,dishes_id,logicprn_name,parent_class_name,dishes_name,itemis_add,counts,amounts,cost,place_order_time,discount_amt,discount_reason,kick_back,add_inprice,add_info,bar_code,picture_file,emp_id
5941,697,609985,,,三色凉拌手撕兔,0,1,66,,2016/8/2921:39:00,,,,0,,,caipu/205005.jpg,1098
5943,697,610042,,,五彩豆,0,1,29,,2016/8/2921:44:00,,,,0,,,caipu/305001.jpg,1098
5944,697,610056,,,纸杯蛋糕,0,1,8,,2016/8/2921:44:00,,,,0,,,caipu/501005.jpg,1098
5942,697,610046,,,青炒扁豆,0,1,28,,2016/8/2921:44:00,,,,0,,,caipu/305005.jpg,1098
5945,697,610033,,,张裕葡萄酒张裕赤霞珠干红,0,1,32,,2016/8/2921:45:00,,,,0,,,caipu/402002.jpg,1098
2736,398,609932,,,爆炒猪肝,0,1,68,,2016/8/3011:17:00,,,,0,,,caipu/203003.jpg,1108
2735,398,609967,,,香酥两吃大虾,0,1,89,,2016/8/3011:17:00,,,,0,,,caipu/101002.jpg,1108
2737,398,609938,,,小米南瓜粥,0,1,13,,2016/8/3011:17:00,,,,0,,,caipu/602004.jpg,1108
2740,398,609940,,,清蒸蝶鱼,0,1,56,,2016/8/3011:18:00,,,,0,,,caipu/103001.jpg,1108
2738,398,609939,,,香菇鸡肉粥,0,1,15,,2016/8/3011:18:00,,,,0,,,caipu/602005.jpg,1108
2741,398,609937,,,冰糖红豆薏米粥,0,1,15,,2016/8/3011:19:00,,,,0,,,caipu/602003.jpg,1108
2744,398,609946,,,谷稻小庄,0,1,38,,2016/8/3011:22:00,,,,0,,,caipu/404002.jpg,1108
2743,398,609944,,,水煮鱼,0,1,65,,2016/8/3011:22:00,,,,0,,,caipu/103005.jpg,1108
2745,398,609948,,,露露无糖杏仁露,0,1,7,,2016/8/3011:24:00,,,,0,,,caipu/404004.jpg,1108
2746,398,609952,,,美妙绝伦之白莲花,0,1,29,,2016/8/3011:25:00,,,,0,,,caipu/303003.jpg,1108
2754,398,609957,,,蒙古烤羊腿,0,1,48,,2016/8/3011:26:00,,,,0,,,caipu/202003.jpg,1108
2752,398,609955,,,红酒炖羊肉,0,1,108,,2016/8/3011:26:00,,,,0,,,caipu/202001.jpg,1108
2747,398,609951,,,炝炒大白菜,0,1,29,,2016/8/3011:26:00,,,,0,,,caipu/303002.jpg,1108
2762,398,609972,,,核桃葡萄干土司,0,1,19,,2016/8/3011:27:00,,,,0,,,caipu/502002.jpg,1108
2765,398,609973,,,紫薯面包卷,0,1,20,,2016/8/3011:27:00,,,,0,,,caipu/502003.jpg,1108
2771,398,609986,,,哈尔滨啤酒罐装,0,1,7,,2016/8/3011:27:00,,,,0,,,caipu/403001.jpg,1108
2764,398,609971,,,大理石奶油蛋糕,0,1,13,,2016/8/3011:27:00,,,,0,,,caipu/502001.jpg,1108
2756,398,609960,,,白胡椒胡萝卜羊肉汤,0,1,35,,2016/8/3011:27:00,,,,0,,,caipu/202006.jpg,1108
2773,398,609987,,,蓝带啤酒罐装,0,1,9,,2016/8/3011:27:00,,,,0,,,caipu/403002.jpg,1108
2774,398,609988,,,百威啤酒罐装,0,1,6,,2016/8/3011:28:00,,,,0,,,caipu/403003.jpg,1108
2775,398,609989,,,青岛啤酒罐装,0,1,7,,2016/8/3011:28:00,,,,0,,,caipu/403004.jpg,1108
2776,398,609990,,,特醇嘉士伯啤酒罐装,0,1,6,,2016/8/3011:29:00,,,,0,,,caipu/403005.jpg,1108
2778,398,609998,,,清爽拌凉面,0,1,15,,2016/8/3011:30:00,,,,0,,,caipu/603002.jpg,1108
2779,398,609999,,,鱼香肉丝拌面,0,1,18,,2016/8/3011:30:00,,,,0,,,caipu/603003.jpg,1108
2782,398,610000,,,酸辣汤面,0,1,16,,2016/8/3011:31:00,,,,0,,,caipu/603004.jpg,1108
2781,398,609997,,,打卤面,0,1,26,,2016/8/3011:31:00,,,,0,,,caipu/603001.jpg,1108
2783,398,610001,,,土豆西红柿汤面,0,1,13,,2016/8/3011:31:00,,,,0,,,caipu/603005.jpg,1108
2784,398,610002,,,老式面包,0,1,19,,2016/8/3011:31:00,,,,0,,,caipu/503001.jpg,1108
2785,398,610004,,,南瓜芝士包,0,1,10,,2016/8/3011:32:00,,,,0,,,caipu/503003.jpg,1108
2786,398,610005,,,牛奶卷,0,1,17,,2016/8/3011:32:00,,,,0,,,caipu/503004.jpg,1108
2787,398,610006,,,咖啡奶香面包,0,1,16,,2016/8/3011:32:00,,,,0,,,caipu/503005.jpg,1108
2789,398,610011,,,白饭/大碗,0,1,10,,2016/8/3011:33:00,,,,0,,,caipu/601005.jpg,1108
2788,398,610007,,,桂圆肉红豆八宝饭,0,1,39,,2016/8/3011:33:00,,,,0,,,caipu/601001.jpg,1108
2791,398,610017,,,酸辣藕丁,0,1,33,,2016/8/3011:34:00,,,,0,,,caipu/302006.jpg,1108
2792,398,610018,,,照烧鸡腿,0,1,16,,2016/8/3011:34:00,,,,0,,,caipu/204001.jpg,1108
2790,398,610015,,,葱油凉拌藕片,0,1,30,,2016/8/3011:34:00,,,,0,,,caipu/302004.jpg,1108
